vcs_id,lat,lon,inclusion_status,project_name,syear,country,iso3,continent,area_ha,proj_id,undisturbed,degraded,deforested,regrowth,water,other,vcs_methodology
562,-3.674267999999999,38.7855085,"Insufficient temporal
 records",The Kasigau Corridor REDD Project – Phase I Rukinga Sanctuary,1998,Kenya,KEN,Africa,30590.182556921704,KEN_562,0,0,0,0,0.8921049865722657,30190.52867059577,VM0009
612,-3.917673899999999,38.805582,<80% undisturbed,The Kasigau Corridor REDD Project - Phase II The Community Ranches,2010,Kenya,KEN,Africa,175370.966614063,KEN_612,10.360918666010836,27.833183022580613,1.0706875366210935,0.9813948059082032,18.645387274169927,173737.45922690572,VM0009
647,16.309632499999992,-88.7934548,<80% undisturbed,Boden Creek Ecological Preserve Forest Carbon Project,2005,Belize,BLZ,Americas,5477.23911789872,BLZ_647,3260.5512103578812,1404.340191558929,60.511443982340495,32.52992236522,15.718328326416035,672.5742811940096,VM0007
674,-3.1063677000000007,112.2992452,<80% undisturbed,Rimba Raya Biodiversity Reserve Project,2008,Indonesia,IDN,Asia,47573.8692621907,IDN_674,25090.35493436752,12611.581516373632,5141.926941849813,784.1807152328194,92.67878966667638,3528.774256094198,VM0004
812,17.0469403,-88.9109468,<80% undisturbed,Bull Run Overseas Forest Carbon Project,2009,Belize,BLZ,Americas,676.2345283910021,BLZ_812,401.2664833228486,109.1262248740523,74.11533275050729,2.6671747870710782,0,83.92840517704971,VM0007
818,-12.1479357,-66.2868983,<80% undisturbed,Protection of the Bolivian Amazon Forest,2011,Bolivia,BOL,Americas,236.03089193771203,BOL_818,40.457764835612,44.61777399131623,12.741188265692012,113.23826611967158,0,23.430296826004305,VM0007
832,-3.2371492,-48.3078099,<80% undisturbed,Cikel Brazilian Amazon REDD APD Project   Avoiding Planned Deforestation,2007,Brazil,BRA,Americas,29862.0241134326,BRA_832,23353.87676925327,3057.7757014690733,34.33846148607441,2597.3244497034784,22.308894397116276,596.6512633904184,VM0007
844,-11.08754,-69.70909,Included,Madre de Dios Amazon REDD Project,2009,Peru,PER,Americas,98539.2154006461,PER_844,89533.95093798639,7154.876717141137,915.28732639227,86.11638639449775,8.074298637168738,297.14906693471954,VM0007
852,17.78646979999999,-88.7866376,"Insufficient temporal
 records",Rio Bravo Climate Action Project,1996,Belize,BLZ,Americas,6329.87974778813,BLZ_852,5779.489562463175,322.925797657228,4.002841346650964,0.7673982727050781,0.68249091796875,187.34469572935788,VM0007
856,8.468404500000004,-77.341723,Included,The Chocó-Darién Conservation Corridor REDD Project,2010,Colombia,COL,Americas,10686.9326751837,COL_856,10229.73653845892,317.01274323886247,12.299706838163493,2.035145556640624,0,57.00344747429339,VM0009
875,-9.1653714,-59.3554064,Included,FLORESTAL SANTA MARIA PROJECT,2009,Brazil,BRA,Americas,72120.3311531402,BRA_875,70198.51551122182,1021.8457413937832,301.4533856351953,59.54230464625935,9.55521336758482,69.0545777852855,VM0007
902,-17.2380528,28.061029,<80% undisturbed,KARIBA REDD+ PROJECT,2011,Zimbabwe,ZWE,Africa,1075622.84604409,ZWE_902,0,0,0,0,0,0,VM0009
904,14.2674192,103.7862522,<80% undisturbed,"Reduced Emissions from Deforestation and Degradation in Community Forests – Oddar Meanchey, Cambodia",2008,Cambodia,KHM,Asia,63219.864431702306,KHM_904,11995.750168563907,1743.05529882961,3140.354790789958,4.4223501586914065,2178.514050365523,43783.97731992562,VM0006
934,-1.9571896999999996,18.0439333,<80% of plots matched,The Mai Ndombe REDD+ Project,2011,"Congo, the Democratic Republic of the",COD,Africa,279650.257709381,COD_934,232244.49506575457,5763.969435226021,2791.815816287383,62.94549109078202,62.62652776467717,7517.834965671968,VM0009
944,-5.780293800000002,-77.5476379,Included,Alto Mayo Conservation Initiative,2007,Peru,PER,Americas,178703.95462500802,PER_944,158646.5545935374,8591.858809940271,2567.196607123698,529.0252779005575,127.71259245557587,7067.956235742186,VM0015
953,-20.96704189999999,-58.9765988,<80% undisturbed,The Paraguay Forest Conservation Project - Reduction of GHG emissions from deforestation and forest degradation in the Chaco-Pantanal ecosystem,2011,Paraguay,PRY,Americas,4902.28071371283,PRY_953,0,0,109.7544341089097,0,0,4766.750346755693,VM0007
958,-7.533798600000002,-77.2749742,Included,BIOCORREDOR MARTIN SAGRADO REDD+ PROJECT,2010,Peru,PER,Americas,300274.935293639,PER_958,283307.7268210078,10312.644155587564,1636.6757653391007,900.5521732583651,74.54166348032047,2081.8115567887057,VM0015
963,-8.9777735,-69.4729291,Included,The Purus Project,2011,Brazil,BRA,Americas,35745.483659260004,BRA_963,34064.9446425023,603.8475388501467,220.16786750567215,19.071424855502254,125.9705531692326,159.03994203811934,VM0007
977,-2.816277099999999,-50.7509091,Included,RMDLT PORTEL-PARA REDD PROJECT,2008,Brazil,BRA,Americas,211131.269124484,BRA_977,190879.47449697793,2341.5185891217143,550.8245277653002,89.92203536609127,252.6178760376214,418.08026651300133,VM0015
981,-2.8939565999999997,-51.1882099,Included,ADPML PORTEL-PARA REDD PROJECT,2008,Brazil,BRA,Americas,150204.42104407202,BRA_981,141062.22333271411,4369.371678927068,2081.6268164469834,231.40560473146928,182.56925877656815,1215.575982650167,VM0015
985,-7.0839766,-75.9871454,Included,Cordillera Azul National Park REDD project,2008,Peru,PER,Americas,1362722.5390197,PER_985,1318338.4678916335,24177.51524395779,2464.5090741913455,1726.3107003414082,968.700591213066,6210.594265417034,VM0007
